Topic,Search keyword,merged_text,cleaned_text,text_translated,topic_id,topic_label
心理議題,心理學,"【#博音】EP182 | 犯罪心理學教授：某些基因可能讓你更趨向犯罪 ft. 戴伸峰教授 
這一集我們討論了人為什麼犯罪、什麼樣的人會犯罪、以及犯罪之後該怎麼處理⠀ ｜來賓｜戴伸峰⠀ ｜導演｜賈立傑｜製作｜月城南 ...",博音 EP182 犯罪心理學教授 某些基因可能讓你更趨向犯罪 ft 戴伸峰教授 這一集我們討論了人為什麼犯罪 什麼樣的人會犯罪 以及犯罪之後該怎麼處理 來賓 戴伸峰 導演 賈立傑 製作 月城南,博音 EP182 犯罪心理學教授 某些基因可能讓你更趨向犯罪 ft 戴伸峯教授 這一集我們討論了人為什麼犯罪 什麼樣的人會犯罪 以及犯罪之後該怎麼處理 來賓 戴伸峯 導演 賈立傑 製作 月城南,17,17_00_c_教授_對
心理議題,心理學,"他們為什麼傷害你卻毫無感覺？— 卡爾・榮格 #心理洞察 #榮格心理學 #情感覺醒 
你是否曾經為別人的一句話、一次背叛而痛苦萬分，而他們卻若無其事？在這段深度心理解析中，我們走進卡爾・榮格的視角，揭示 ...",他們為什麼傷害你卻毫無感覺 卡爾・榮格 心理洞察 榮格心理學 情感覺醒 你是否曾經為別人的一句話 一次背叛而痛苦萬分 而他們卻若無其事 在這段深度心理解析中 我們走進卡爾・榮格的視角 揭示,他們為什麼傷害你卻毫無感覺 卡爾・榮格 心理洞察 榮格心理學 情感覺醒 你是否曾經為別人的一句話 一次背叛而痛苦萬分 而他們卻若無其事 在這段深度心理解析中 我們走進卡爾・榮格的視角 揭示,0,0_榮格_心理_的_什麼
心理議題,心理學,"他人を無視するには？ カール・ユングの心理学で毒性と戦う | カール・ユング 
ハーバード大学の社会心理学者デビッド・マクレランド博士の研究によると、あなたが普段付き合っている人々が、人生の成功か ...",他人を無視するには カール・ユングの心理学で毒性と戦う カール・ユング ハーバード大学の社会心理学者デビッド・マクレランド博士の研究によると あなたが普段付き合っている人々が 人生の成功か,如何忽略其他人 哈佛社會心理學家戴維 麥克萊蘭德 David McClelland 博士的卡爾 榮格 Carl Jung 心理學卡爾 榮格 Carl Jung 的研究中的戰鬥毒性 您是通常的人嗎,0,0_榮格_心理_的_什麼
心理議題,心理學,#アドラー #アドラー心理学 #言葉 #名言集 #生きる #ポジティブ #人間関係 #心理 #名言 #繊細さん #人間関係の悩み,アドラー アドラー心理学 言葉 名言集 生きる ポジティブ 人間関係 心理 名言 繊細さん 人間関係の悩み,阿德勒 阿德勒心理學單詞引用收集生活積極的人際關係心理學語錄微妙的人關係關注,7,7_心理_學_阿德勒_學知識
心理議題,心理學,"一點點累積的快樂，做好一件小事，也能成為佼佼者！細細品嘗擁有：感受、接受、享受，迎向改變的幸福心法｜哇賽心觀點ｘ郝聲音 
比較是偷走快樂的小偷，但知足才有嘗樂的可能。」 「當你學會享受蛻變，快樂會主動來找你。」 「從習慣到不習慣，是成長；從不 ...",一點點累積的快樂 做好一件小事 也能成為佼佼者 細細品嘗擁有 感受 接受 享受 迎向改變的幸福心法 哇賽心觀點x郝聲音 比較是偷走快樂的小偷 但知足才有嘗樂的可能 當你學會享受蛻變 快樂會主動來找你 從習慣到不習慣 是成長 從不,一點點累積的快樂 做好一件小事 也能成為佼佼者 細細品嘗擁有 感受 接受 享受 迎向改變的幸福心法 哇賽心觀點x郝聲音 比較是偷走快樂的小偷 但知足纔有嘗樂的可能 當你學會享受蛻變 快樂會主動來找你 從習慣到不習慣 是成長 從不,6,6_快樂_正_能量_呼吸
心理議題,心理學,"【グレーな心理学】人間関係で「本当に見るべきこと」とは？ 
白幕の日記帳はこちらから  】 https://youtube.com/@whitediary10 【チャンネル登録はこちらから  】 ...",グレーな心理学 人間関係で 本当に見るべきこと とは 白幕の日記帳はこちらから チャンネル登録はこちらから,灰色心理學 您真正需要在人際關係中看到什麼 單擊此處以獲取白色窗簾日記 並在此處訂閱頻道,22,22_灰色_此處_單擊_閱頻
心理議題,心理學,"生理喜欢和心理性喜欢的区别 #心理学 #微行为心理学 #恋爱心理学 #阿豆心理学 
欢迎来到“阿豆心理学”  ！ 这是一个超有趣的心理学知识小天地，帮你透过心理学的视角，更好地认识自己，洞悉他人，探索奇妙的 ...",生理喜欢和心理性喜欢的区别 心理学 微行为心理学 恋爱心理学 阿豆心理学 欢迎来到 阿豆心理学 这是一个超有趣的心理学知识小天地 帮你透过心理学的视角 更好地认识自己 洞悉他人 探索奇妙的,生理喜歡和心理性喜歡的區別 心理學 微行爲心理學 戀愛心理學 阿豆心理學 歡迎來到 阿豆心理學 這是一個超有趣的心理學知識小天地 幫你透過心理學的視角 更好地認識自己 洞悉他人 探索奇妙的,7,7_心理_學_阿德勒_學知識
心理議題,心理學,"运用心理学教你如何戒掉“弱者气息” #心理学 #心理学微行为 #微心理学 #阿豆心理学 
欢迎来到“阿豆心理学”  ！ 这是一个超有趣的心理学知识小天地，帮你透过心理学的视角，更好地认识自己，洞悉他人，探索奇妙的 ...",运用心理学教你如何戒掉 弱者气息 心理学 心理学微行为 微心理学 阿豆心理学 欢迎来到 阿豆心理学 这是一个超有趣的心理学知识小天地 帮你透过心理学的视角 更好地认识自己 洞悉他人 探索奇妙的,運用心理學教你如何戒掉 弱者氣息 心理學 心理學微行爲 微心理學 阿豆心理學 歡迎來到 阿豆心理學 這是一個超有趣的心理學知識小天地 幫你透過心理學的視角 更好地認識自己 洞悉他人 探索奇妙的,7,7_心理_學_阿德勒_學知識
心理議題,心理學,"据说反社会型人格很难识别,但只要仔细观察他们的脸，就能找到线索⚠️ 
据说反社会型人格很难识别但只要仔细观察他们的脸，就能找到线索他们虽然善于伪装但最大的破绽就是“不会共情” #反社会人格# ...",据说反社会型人格很难识别 但只要仔细观察他们的脸 就能找到线索 据说反社会型人格很难识别但只要仔细观察他们的脸 就能找到线索他们虽然善于伪装但最大的破绽就是 不会共情 反社会人格,據說反社會型人格很難識別 但只要仔細觀察他們的臉 就能找到線索 據說反社會型人格很難識別但只要仔細觀察他們的臉 就能找到線索他們雖然善於僞裝但最大的破綻就是 不會共情 反社會人格,0,0_榮格_心理_的_什麼
心理議題,心理學,"晚回訊息、飯後走10分鐘，精神up！《好能量》啟動發電工作細胞，讓腦子清醒、恢復活力、身心不疲累｜哇賽讀心書 
你不是壞掉了，是你的細胞沒電了。」 「當你願意少做一點，身體才有機會重新充電。」 「延遲反應，不是壓抑情緒，而是為自己 ...",晚回訊息 飯後走10分鐘 精神up 好能量 啟動發電工作細胞 讓腦子清醒 恢復活力 身心不疲累 哇賽讀心書 你不是壞掉了 是你的細胞沒電了 當你願意少做一點 身體才有機會重新充電 延遲反應 不是壓抑情緒 而是為自己,晚回訊息 飯後走10分鐘 精神up 好能量 啟動發電工作細胞 讓腦子清醒 恢復活力 身心不疲累 哇賽讀心書 你不是壞掉了 是你的細胞沒電了 當你願意少做一點 身體纔有機會重新充電 延遲反應 不是壓抑情緒 而是為自己,6,6_快樂_正_能量_呼吸
心理議題,心理學,"為什麼相愛的人會背叛？深度心理學解析：婚姻關係的隱秘真相   #婚外情心理學 #婚姻關係 #情感背叛 #心理分析 #人性分析 #親密關係 #信任重建 #情感創傷#人際關係 
婚外情，總是讓人聯想到背叛、憤怒和心碎。但我們是否真正理解它背後的心理動因？從性別差異到文化演變，從情感飢餓到自我 ...",為什麼相愛的人會背叛 深度心理學解析 婚姻關係的隱秘真相 婚外情心理學 婚姻關係 情感背叛 心理分析 人性分析 親密關係 信任重建 情感創傷 人際關係 婚外情 總是讓人聯想到背叛 憤怒和心碎 但我們是否真正理解它背後的心理動因 從性別差異到文化演變 從情感飢餓到自我,為什麼相愛的人會背叛 深度心理學解析 婚姻關係的隱祕真相 婚外情心理學 婚姻關係 情感背叛 心理分析 人性分析 親密關係 信任重建 情感創傷 人際關係 婚外情 總是讓人聯想到背叛 憤怒和心碎 但我們是否真正理解它背後的心理動因 從性別差異到文化演變 從情感飢餓到自我,8,8_感情_你_背叛_誰
心理議題,心理學,"【十分鐘心理學】為什麼害怕被拒絕？情緒勒索者的內心劇本？ 
我們常常會談「被情緒勒索怎麼辦」，卻很少討論「情緒勒鎖者在想什麼」。這集十分鐘心理學，要帶大家了解，其實情勒者會想情 ...",十分鐘心理學 為什麼害怕被拒絕 情緒勒索者的內心劇本 我們常常會談 被情緒勒索怎麼辦 卻很少討論 情緒勒鎖者在想什麼 這集十分鐘心理學 要帶大家了解 其實情勒者會想情,十分鐘心理學 為什麼害怕被拒絕 情緒勒索者的內心劇本 我們常常會談 被情緒勒索怎麼辦 卻很少討論 情緒勒鎖者在想什麼 這集十分鐘心理學 要帶大家瞭解 其實情勒者會想情,0,0_榮格_心理_的_什麼
心理議題,心理學,"【ユング心理学】なぜ“怒り”を抑える人ほど、不幸になるのか 
動画を見て「感じたこと」メモ代わりにコメント使ってください✍️】 あなたの悩みが、軽くなりますように。 このチャンネル ...",ユング心理学 なぜ 怒り を抑える人ほど 不幸になるのか 動画を見て 感じたこと メモ代わりにコメント使ってください あなたの悩みが 軽くなりますように このチャンネル,榮格心理學為什麼壓抑憤怒的人會變得不開心 觀看視頻並使用註釋作為註釋來幫助您緩解煩惱,0,0_榮格_心理_的_什麼
心理議題,心理學,嫉妬③高いコミュ力#心理学#嫉妬される理由,嫉妬3高いコミュ力 心理学 嫉妬される理由,嫉妒3高溝通技巧心理學為什麼你嫉妒,0,0_榮格_心理_的_什麼
心理議題,心理學,"太操心的女人，最後會毀了自己#女人 #女性 #成長 #家庭 #婚姻 #生活 #情感 #愛自己 #情緒 #心態 #感受 #自我提升 #覺察 #療愈 #學習 #提升自己 #認知 #原生家庭 #施威老師 
如果您還有其他的問題？ 如果您在療癒的道路上有某些疑惑？ 諮詢學習請聯繫添加助理⬇️⬇️⬇️ line：@539auuxd ...",太操心的女人 最後會毀了自己 女人 女性 成長 家庭 婚姻 生活 情感 愛自己 情緒 心態 感受 自我提升 覺察 療愈 學習 提升自己 認知 原生家庭 施威老師 如果您還有其他的問題 如果您在療癒的道路上有某些疑惑 諮詢學習請聯繫添加助理 line 539auuxd,太操心的女人 最後會毀了自己 女人 女性 成長 家庭 婚姻 生活 情感 愛自己 情緒 心態 感受 自我提升 覺察 療愈 學習 提升自己 認知 原生家庭 施威老師 如果您還有其他的問題 如果您在療癒的道路上有某些疑惑 諮詢學習請聯繫添加助理 line 539auuxd,15,15_女人_女性_婚姻_智慧
心理議題,心理學,"心理学微行为判断对方性格 ##心理学 #微行为心理学 #识人术 #阿豆心理学 
欢迎来到“阿豆心理学”  ！ 这是一个超有趣的心理学知识小天地，帮你透过心理学的视角，更好地认识自己，洞悉他人，探索奇妙的 ...",心理学微行为判断对方性格 心理学 微行为心理学 识人术 阿豆心理学 欢迎来到 阿豆心理学 这是一个超有趣的心理学知识小天地 帮你透过心理学的视角 更好地认识自己 洞悉他人 探索奇妙的,心理學微行爲判斷對方性格 心理學 微行爲心理學 識人術 阿豆心理學 歡迎來到 阿豆心理學 這是一個超有趣的心理學知識小天地 幫你透過心理學的視角 更好地認識自己 洞悉他人 探索奇妙的,7,7_心理_學_阿德勒_學知識
心理議題,心理學,"【グレーな心理学】人生で本当に大切な５つのこと 
白幕の日記帳はこちらから  】 https://youtube.com/@whitediary10 【チャンネル登録はこちらから  】 ...",グレーな心理学 人生で本当に大切な5つのこと 白幕の日記帳はこちらから チャンネル登録はこちらから,灰色心理學 生活中真正重要的五件事 單擊此處訪問新窗簾的日記並在此處訂閱頻道,22,22_灰色_此處_單擊_閱頻
心理議題,心理學,酒後行為心理學 你是哪一種 #酒後行為 #發酒瘋 #酒後見人心 #shorts,酒後行為心理學 你是哪一種 酒後行為 發酒瘋 酒後見人心 shorts,酒後行為心理學 你是哪一種 酒後行為 發酒瘋 酒後見人心 shorts,0,0_榮格_心理_的_什麼
心理議題,心理學,"猎人的心理学: 如何让他一次又一次地追求你 | 卡尔·荣格 
那熟悉的寒意？就在你付出真心的那一刻，他的激情便消退了。忘掉朋友们那些平庸的建议吧。真相隐藏在卡尔·荣格曾谈到的猎人 ...",猎人的心理学 如何让他一次又一次地追求你 卡尔 荣格 那熟悉的寒意 就在你付出真心的那一刻 他的激情便消退了 忘掉朋友们那些平庸的建议吧 真相隐藏在卡尔 荣格曾谈到的猎人,獵人的心理學 如何讓他一次又一次地追求你 卡爾 榮格 那熟悉的寒意 就在你付出真心的那一刻 他的激情便消退了 忘掉朋友們那些平庸的建議吧 真相隱藏在卡爾 榮格曾談到的獵人,0,0_榮格_心理_的_什麼
心理議題,心理學,"微表情心理学眼神识人#心理学 #微行为心理学 #识人术  #阿豆心理学 
欢迎来到“阿豆心理学”  ！ 这是一个超有趣的心理学知识小天地，帮你透过心理学的视角，更好地认识自己，洞悉他人，探索奇妙的 ...",微表情心理学眼神识人 心理学 微行为心理学 识人术 阿豆心理学 欢迎来到 阿豆心理学 这是一个超有趣的心理学知识小天地 帮你透过心理学的视角 更好地认识自己 洞悉他人 探索奇妙的,微表情心理學眼神識人 心理學 微行爲心理學 識人術 阿豆心理學 歡迎來到 阿豆心理學 這是一個超有趣的心理學知識小天地 幫你透過心理學的視角 更好地認識自己 洞悉他人 探索奇妙的,7,7_心理_學_阿德勒_學知識
心理議題,心理學,"微表情心理学眼神识人#心理学 #微行为心理学 #识人术  #阿豆心理学 
欢迎来到“阿豆心理学”  ！ 这是一个超有趣的心理学知识小天地，帮你透过心理学的视角，更好地认识自己，洞悉他人，探索奇妙的 ...",微表情心理学眼神识人 心理学 微行为心理学 识人术 阿豆心理学 欢迎来到 阿豆心理学 这是一个超有趣的心理学知识小天地 帮你透过心理学的视角 更好地认识自己 洞悉他人 探索奇妙的,微表情心理學眼神識人 心理學 微行爲心理學 識人術 阿豆心理學 歡迎來到 阿豆心理學 這是一個超有趣的心理學知識小天地 幫你透過心理學的視角 更好地認識自己 洞悉他人 探索奇妙的,7,7_心理_學_阿德勒_學知識
心理議題,心理學,"爱吃的零食反映孩子心理需求 #心理学 #青少年心理 #阿豆心理学 #微行为心理学 
欢迎来到“阿豆心理学”  ！ 这是一个超有趣的心理学知识小天地，帮你透过心理学的视角，更好地认识自己，洞悉他人，探索奇妙的 ...",爱吃的零食反映孩子心理需求 心理学 青少年心理 阿豆心理学 微行为心理学 欢迎来到 阿豆心理学 这是一个超有趣的心理学知识小天地 帮你透过心理学的视角 更好地认识自己 洞悉他人 探索奇妙的,愛喫的零食反映孩子心理需求 心理學 青少年心理 阿豆心理學 微行爲心理學 歡迎來到 阿豆心理學 這是一個超有趣的心理學知識小天地 幫你透過心理學的視角 更好地認識自己 洞悉他人 探索奇妙的,7,7_心理_學_阿德勒_學知識
心理議題,心理學,"字迹会映射你的性格特征 #心理学 #识人术 #看字迹猜人 #阿豆心理学 
欢迎来到“阿豆心理学”  ！ 这是一个超有趣的心理学知识小天地，帮你透过心理学的视角，更好地认识自己，洞悉他人，探索奇妙的 ...",字迹会映射你的性格特征 心理学 识人术 看字迹猜人 阿豆心理学 欢迎来到 阿豆心理学 这是一个超有趣的心理学知识小天地 帮你透过心理学的视角 更好地认识自己 洞悉他人 探索奇妙的,字跡會映射你的性格特徵 心理學 識人術 看字跡猜人 阿豆心理學 歡迎來到 阿豆心理學 這是一個超有趣的心理學知識小天地 幫你透過心理學的視角 更好地認識自己 洞悉他人 探索奇妙的,7,7_心理_學_阿德勒_學知識
心理議題,心理學,結局モテる人の特徴５選 #恋愛 #恋愛心理学 #恋愛テクニック #恋愛成就 #shorts,結局モテる人の特徴5選 恋愛 恋愛心理学 恋愛テクニック 恋愛成就 shorts,最後 受歡迎人的5個特徵 愛 愛心理學 愛情技巧 愛成功 短褲,18,18_髮_5_技術_一種
心理議題,心理學,"【グレーな心理学】実は人生で早く気づいた方がいい無駄は 
白幕の日記帳はこちらから  】 https://youtube.com/@whitediary10 【チャンネル登録はこちらから  】 ...",グレーな心理学 実は人生で早く気づいた方がいい無駄は 白幕の日記帳はこちらから チャンネル登録はこちらから,灰色心理學 您一生中應該注意到的浪費是您第一次需要意識到這一點 單擊此處訪問白色窗簾的日記 並在此處訂閱頻道,22,22_灰色_此處_單擊_閱頻
心理議題,心理學,"爲什麽有些人會無意識地摧毀你？远离他！        #榮格心理學 #情感操控 #人際邊界 #自我覺察 #心理成長 #人格分析 
不是所有的善良都值得付出，不是所有的關係都值得維持。榮格在《自我與無意識》中揭示了一個令人震驚的真相：你正在成為他人 ...",爲什麽有些人會無意識地摧毀你 远离他 榮格心理學 情感操控 人際邊界 自我覺察 心理成長 人格分析 不是所有的善良都值得付出 不是所有的關係都值得維持 榮格在 自我與無意識 中揭示了一個令人震驚的真相 你正在成為他人,爲什麼有些人會無意識地摧毀你 遠離他 榮格心理學 情感操控 人際邊界 自我覺察 心理成長 人格分析 不是所有的善良都值得付出 不是所有的關係都值得維持 榮格在 自我與無意識 中揭示了一個令人震驚的真相 你正在成為他人,0,0_榮格_心理_的_什麼
心理議題,心理學,"１分解説　アドラー心理学【怒りの裏にあるもの】 #心理学 #心理雑学 #人間関係 
アドラー心理学は、あなたの悩みの根源を探り、 前向きに生きるヒントを与えてくれます。",1分解説 アドラー心理学 怒りの裏にあるもの 心理学 心理雑学 人間関係 アドラー心理学は あなたの悩みの根源を探り 前向きに生きるヒントを与えてくれます,1分鐘的解釋Adlerian心理學背後的憤怒心理學心理學瑣事人際關係Adler心理學探索了您的煩惱根源 並為您提供了積極生活的技巧,7,7_心理_學_阿德勒_學知識
心理議題,心理學,#アドラー #アドラー心理学 #言葉 #名言集 #生きる #ポジティブ #人間関係 #心理 #名言 #繊細さん #人間関係の悩み,アドラー アドラー心理学 言葉 名言集 生きる ポジティブ 人間関係 心理 名言 繊細さん 人間関係の悩み,阿德勒 阿德勒心理學單詞引用收集生活積極的人際關係心理學語錄微妙的人關係關注,7,7_心理_學_阿德勒_學知識
心理議題,心理學,「他人の目を気にしすぎる」#メンタル #心理学#性格,他人の目を気にしすぎる メンタル 心理学 性格,過多關注他人的眼睛心理心理性格,8,8_感情_你_背叛_誰
心理議題,心理學,意外と知らない人間心理の雑学 #雑学 #心理学,意外と知らない人間心理の雑学 雑学 心理学,關於人類心理學的瑣事 您對意外 瑣事 心理學不瞭解,23,23_瑣事_學_心理_有用
心理議題,心理學,#アドラー #アドラー心理学 #言葉 #名言集 #生きる #ポジティブ #人間関係 #心理 #名言 #繊細さん #人間関係の悩み,アドラー アドラー心理学 言葉 名言集 生きる ポジティブ 人間関係 心理 名言 繊細さん 人間関係の悩み,阿德勒 阿德勒心理學單詞引用收集生活積極的人際關係心理學語錄微妙的人關係關注,7,7_心理_學_阿德勒_學知識
